oversampler,rf__class_weight,rf__criterion,rf__max_depth,rf__max_features,rf__n_estimators,undersampler,Accuracy
passthrough,balanced_subsample,gini,100.0,sqrt,100,passthrough,0.7236435267899248
passthrough,balanced_subsample,gini,100.0,sqrt,100,RandomUnderSampler(random_state=1410950),0.6247103810116655
passthrough,balanced_subsample,gini,100.0,sqrt,100,NearMiss(),0.4089584495447208
passthrough,balanced_subsample,gini,100.0,sqrt,500,passthrough,0.7248065838298423
passthrough,balanced_subsample,gini,100.0,sqrt,500,RandomUnderSampler(random_state=1410950),0.628657660789402
passthrough,balanced_subsample,gini,100.0,sqrt,500,NearMiss(),0.4045476715953769
passthrough,balanced_subsample,gini,100.0,sqrt,1000,passthrough,0.7252703514771309
passthrough,balanced_subsample,gini,100.0,sqrt,1000,RandomUnderSampler(random_state=1410950),0.6281936236664322
passthrough,balanced_subsample,gini,100.0,sqrt,1000,NearMiss(),0.4043161919852543
passthrough,balanced_subsample,gini,100.0,log2,10,passthrough,0.7110999727829561
passthrough,balanced_subsample,gini,100.0,log2,10,RandomUnderSampler(random_state=1410950),0.5989288341673605
passthrough,balanced_subsample,gini,100.0,log2,10,NearMiss(),0.407099875771711
passthrough,balanced_subsample,gini,100.0,log2,100,passthrough,0.7236435267899248
passthrough,balanced_subsample,gini,100.0,log2,100,RandomUnderSampler(random_state=1410950),0.6247103810116655
passthrough,balanced_subsample,gini,100.0,log2,100,NearMiss(),0.4089584495447208
passthrough,balanced_subsample,gini,100.0,log2,500,passthrough,0.7248065838298423
passthrough,balanced_subsample,gini,100.0,log2,500,RandomUnderSampler(random_state=1410950),0.628657660789402
passthrough,balanced_subsample,gini,100.0,log2,500,NearMiss(),0.4045476715953769
passthrough,balanced_subsample,gini,100.0,log2,1000,passthrough,0.7252703514771309
passthrough,balanced_subsample,gini,100.0,log2,1000,RandomUnderSampler(random_state=1410950),0.6281936236664322
passthrough,balanced_subsample,gini,100.0,log2,1000,NearMiss(),0.4043161919852543
passthrough,balanced_subsample,gini,100.0,,10,passthrough,0.7215534734067924
passthrough,balanced_subsample,gini,100.0,,10,RandomUnderSampler(random_state=1410950),0.5975340280416395
passthrough,balanced_subsample,gini,100.0,,10,NearMiss(),0.3309314965870905
passthrough,balanced_subsample,gini,100.0,,100,passthrough,0.7310732407953845
passthrough,balanced_subsample,gini,100.0,,100,RandomUnderSampler(random_state=1410950),0.6258672401109162
passthrough,balanced_subsample,gini,100.0,,100,NearMiss(),0.33185606764917497
passthrough,balanced_subsample,gini,100.0,,500,passthrough,0.7336289481555738
passthrough,balanced_subsample,gini,100.0,,500,RandomUnderSampler(random_state=1410950),0.6293526385711322
passthrough,balanced_subsample,gini,100.0,,500,NearMiss(),0.3286056519829368
passthrough,balanced_subsample,gini,100.0,,1000,passthrough,0.7313068762109564
passthrough,balanced_subsample,gini,100.0,,1000,RandomUnderSampler(random_state=1410950),0.6298172146454644
passthrough,balanced_subsample,gini,100.0,,1000,NearMiss(),0.3293014381917104
passthrough,balanced_subsample,gini,500.0,sqrt,10,passthrough,0.7110999727829561
passthrough,balanced_subsample,gini,500.0,sqrt,10,RandomUnderSampler(random_state=1410950),0.5989288341673605
passthrough,balanced_subsample,gini,500.0,sqrt,10,NearMiss(),0.407099875771711
passthrough,balanced_subsample,gini,500.0,sqrt,100,passthrough,0.7236435267899248
passthrough,balanced_subsample,gini,500.0,sqrt,100,RandomUnderSampler(random_state=1410950),0.6247103810116655
passthrough,balanced_subsample,gini,500.0,sqrt,100,NearMiss(),0.4089584495447208
passthrough,balanced_subsample,gini,500.0,sqrt,500,passthrough,0.7248065838298423
passthrough,balanced_subsample,gini,500.0,sqrt,500,RandomUnderSampler(random_state=1410950),0.628657660789402
passthrough,balanced_subsample,gini,500.0,sqrt,500,NearMiss(),0.4045476715953769
passthrough,balanced_subsample,gini,500.0,sqrt,1000,passthrough,0.7252703514771309
passthrough,balanced_subsample,gini,500.0,sqrt,1000,RandomUnderSampler(random_state=1410950),0.6281936236664322
passthrough,balanced_subsample,gini,500.0,sqrt,1000,NearMiss(),0.4043161919852543
passthrough,balanced_subsample,gini,500.0,log2,10,passthrough,0.7110999727829561
passthrough,balanced_subsample,gini,500.0,log2,10,RandomUnderSampler(random_state=1410950),0.5989288341673605
passthrough,balanced_subsample,gini,500.0,log2,10,NearMiss(),0.407099875771711
passthrough,balanced_subsample,gini,500.0,log2,100,passthrough,0.7236435267899248
passthrough,balanced_subsample,gini,500.0,log2,100,RandomUnderSampler(random_state=1410950),0.6247103810116655
passthrough,balanced_subsample,gini,500.0,log2,100,NearMiss(),0.4089584495447208
passthrough,balanced_subsample,gini,500.0,log2,500,passthrough,0.7248065838298423
passthrough,balanced_subsample,gini,500.0,log2,500,RandomUnderSampler(random_state=1410950),0.628657660789402
passthrough,balanced_subsample,gini,500.0,log2,500,NearMiss(),0.4045476715953769
passthrough,balanced_subsample,gini,500.0,log2,1000,passthrough,0.7252703514771309
passthrough,balanced_subsample,gini,500.0,log2,1000,RandomUnderSampler(random_state=1410950),0.6281936236664322
passthrough,balanced_subsample,gini,500.0,log2,1000,NearMiss(),0.4043161919852543
passthrough,balanced_subsample,gini,500.0,,10,passthrough,0.7215534734067924
passthrough,balanced_subsample,gini,500.0,,10,RandomUnderSampler(random_state=1410950),0.5975340280416395
passthrough,balanced_subsample,gini,500.0,,10,NearMiss(),0.3309314965870905
passthrough,balanced_subsample,gini,500.0,,100,passthrough,0.7310732407953845
passthrough,balanced_subsample,gini,500.0,,100,RandomUnderSampler(random_state=1410950),0.6258672401109162
passthrough,balanced_subsample,gini,500.0,,100,NearMiss(),0.33185606764917497
passthrough,balanced_subsample,gini,500.0,,500,passthrough,0.7336289481555738
passthrough,balanced_subsample,gini,500.0,,500,RandomUnderSampler(random_state=1410950),0.6293526385711322
passthrough,balanced_subsample,gini,500.0,,500,NearMiss(),0.3286056519829368
passthrough,balanced_subsample,gini,500.0,,1000,passthrough,0.7313068762109564
passthrough,balanced_subsample,gini,500.0,,1000,RandomUnderSampler(random_state=1410950),0.6298172146454644
passthrough,balanced_subsample,gini,500.0,,1000,NearMiss(),0.3293014381917104
passthrough,balanced_subsample,gini,,sqrt,10,passthrough,0.7110999727829561
passthrough,balanced_subsample,gini,,sqrt,10,RandomUnderSampler(random_state=1410950),0.5989288341673605
passthrough,balanced_subsample,gini,,sqrt,10,NearMiss(),0.407099875771711
passthrough,balanced_subsample,gini,,sqrt,100,passthrough,0.7236435267899248
passthrough,balanced_subsample,gini,,sqrt,100,RandomUnderSampler(random_state=1410950),0.6247103810116655
passthrough,balanced_subsample,gini,,sqrt,100,NearMiss(),0.4089584495447208
passthrough,balanced_subsample,gini,,sqrt,500,passthrough,0.7248065838298423
passthrough,balanced_subsample,gini,,sqrt,500,RandomUnderSampler(random_state=1410950),0.628657660789402
passthrough,balanced_subsample,gini,,sqrt,500,NearMiss(),0.4045476715953769
passthrough,balanced_subsample,gini,,sqrt,1000,passthrough,0.7252703514771309
passthrough,balanced_subsample,gini,,sqrt,1000,RandomUnderSampler(random_state=1410950),0.6281936236664322
passthrough,balanced_subsample,gini,,sqrt,1000,NearMiss(),0.4043161919852543
passthrough,balanced_subsample,gini,,log2,10,passthrough,0.7110999727829561
passthrough,balanced_subsample,gini,,log2,10,RandomUnderSampler(random_state=1410950),0.5989288341673605
passthrough,balanced_subsample,gini,,log2,10,NearMiss(),0.407099875771711
passthrough,balanced_subsample,gini,,log2,100,passthrough,0.7236435267899248
passthrough,balanced_subsample,gini,,log2,100,RandomUnderSampler(random_state=1410950),0.6247103810116655
passthrough,balanced_subsample,gini,,log2,100,NearMiss(),0.4089584495447208
passthrough,balanced_subsample,gini,,log2,500,passthrough,0.7248065838298423
passthrough,balanced_subsample,gini,,log2,500,RandomUnderSampler(random_state=1410950),0.628657660789402
passthrough,balanced_subsample,gini,,log2,500,NearMiss(),0.4045476715953769
passthrough,balanced_subsample,gini,,log2,1000,passthrough,0.7252703514771309
passthrough,balanced_subsample,gini,,log2,1000,RandomUnderSampler(random_state=1410950),0.6281936236664322
passthrough,balanced_subsample,gini,,log2,1000,NearMiss(),0.4043161919852543
passthrough,balanced_subsample,gini,,,10,passthrough,0.7215534734067924
passthrough,balanced_subsample,gini,,,10,RandomUnderSampler(random_state=1410950),0.5975340280416395
passthrough,balanced_subsample,gini,,,10,NearMiss(),0.3309314965870905
passthrough,balanced_subsample,gini,,,100,passthrough,0.7310732407953845
passthrough,balanced_subsample,gini,,,100,RandomUnderSampler(random_state=1410950),0.6258672401109162
passthrough,balanced_subsample,gini,,,100,NearMiss(),0.33185606764917497
passthrough,balanced_subsample,gini,,,500,passthrough,0.7336289481555738
passthrough,balanced_subsample,gini,,,500,RandomUnderSampler(random_state=1410950),0.6293526385711322
passthrough,balanced_subsample,gini,,,500,NearMiss(),0.3286056519829368
passthrough,balanced_subsample,gini,,,1000,passthrough,0.7313068762109564
passthrough,balanced_subsample,gini,,,1000,RandomUnderSampler(random_state=1410950),0.6298172146454644
passthrough,balanced_subsample,gini,,,1000,NearMiss(),0.3293014381917104
passthrough,balanced_subsample,entropy,100.0,sqrt,10,passthrough,0.71621030960061
passthrough,balanced_subsample,entropy,100.0,sqrt,10,RandomUnderSampler(random_state=1410950),0.5945180562180166
passthrough,balanced_subsample,entropy,100.0,sqrt,10,NearMiss(),0.382480847015961
passthrough,balanced_subsample,entropy,100.0,sqrt,100,passthrough,0.7255018310872535
passthrough,balanced_subsample,entropy,100.0,sqrt,100,RandomUnderSampler(random_state=1410950),0.6240143253272109
passthrough,balanced_subsample,entropy,100.0,sqrt,100,NearMiss(),0.40756741607853597
passthrough,balanced_subsample,entropy,100.0,sqrt,500,passthrough,0.7280572689717617
passthrough,balanced_subsample,entropy,100.0,sqrt,500,RandomUnderSampler(random_state=1410950),0.6302852939036516
passthrough,balanced_subsample,entropy,100.0,sqrt,500,NearMiss(),0.40640651484406787
passthrough,balanced_subsample,entropy,100.0,sqrt,1000,passthrough,0.7280572689717617
