,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
59,13.55636911392212,0.18809364982679025,0.9096428394317627,0.15595402462504648,balanced,entropy,500,,1000,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 500, 'max_features': None, 'n_estimators': 1000}",0.7192575406032483,0.7560975609756098,0.7363530778164924,0.7154471544715447,0.7398373983739838,0.7333985464481758,0.014748924370613837,70
60,0.3116579055786133,0.048935458107764056,0.18666181564331055,0.03447716462134319,balanced,entropy,,sqrt,10,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 10}",0.7192575406032483,0.7247386759581882,0.7003484320557491,0.6910569105691057,0.727061556329849,0.7124926231032281,0.014247490183983259,205
61,1.3197689533233643,0.030434424536536,0.31371541023254396,0.055098150993200416,balanced,entropy,,sqrt,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",0.7122969837587007,0.7479674796747967,0.7154471544715447,0.7131242740998839,0.7409988385598142,0.725966946112948,0.015313062260177762,133
62,4.594083976745606,0.9543729406279869,0.44666495323181155,0.0455874312949645,balanced,entropy,,sqrt,500,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 500}",0.7146171693735499,0.7502903600464577,0.7200929152148664,0.7154471544715447,0.7386759581881533,0.7278247114589144,0.01421181677414634,115
63,7.662748003005982,0.08932031000135991,0.6861998081207276,0.05242285272424309,balanced,entropy,,sqrt,1000,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 1000}",0.7134570765661253,0.7537746806039489,0.7166085946573751,0.7131242740998839,0.7409988385598142,0.7275926928974294,0.016703427357878258,121
64,0.13603587150573732,0.007822255895661183,0.12629218101501466,0.010064550454455591,balanced,entropy,,log2,10,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 10}",0.7192575406032483,0.7247386759581882,0.7003484320557491,0.6910569105691057,0.727061556329849,0.7124926231032281,0.014247490183983259,205
65,0.8334076404571533,0.02793393588577929,0.1594829559326172,0.05165543743905669,balanced,entropy,,log2,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 100}",0.7122969837587007,0.7479674796747967,0.7154471544715447,0.7131242740998839,0.7409988385598142,0.725966946112948,0.015313062260177762,133
66,3.849906492233276,0.1665840785252503,0.4138319969177246,0.13885207205023198,balanced,entropy,,log2,500,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 500}",0.7146171693735499,0.7502903600464577,0.7200929152148664,0.7154471544715447,0.7386759581881533,0.7278247114589144,0.01421181677414634,115
67,9.03318395614624,0.08510099318256403,0.9518778324127197,0.10030322469787892,balanced,entropy,,log2,1000,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 1000}",0.7134570765661253,0.7537746806039489,0.7166085946573751,0.7131242740998839,0.7409988385598142,0.7275926928974294,0.016703427357878258,121
68,0.12764592170715333,0.007708384115532621,0.12522473335266113,0.0037711833275107637,balanced,entropy,,,10,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'n_estimators': 10}",0.7157772621809745,0.7468060394889663,0.7073170731707317,0.7003484320557491,0.727061556329849,0.7194620726452541,0.016320874804991562,178
69,1.0179929256439209,0.11061982102405828,0.1522739887237549,0.041093133197323335,balanced,entropy,,,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'n_estimators': 100}",0.7250580046403712,0.7526132404181185,0.7328687572590011,0.7073170731707317,0.7468060394889663,0.7329326229954377,0.016111911576427402,75
70,5.945403528213501,1.0045044134579917,0.7132171630859375,0.09699916420086883,balanced,entropy,,,500,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'n_estimators': 500}",0.7215777262180975,0.7584204413472706,0.7363530778164924,0.7166085946573751,0.7363530778164924,0.7338625835711456,0.014588429355800089,61
71,12.79407057762146,0.2126715038618069,0.7925068855285644,0.06464076647886476,balanced,entropy,,,1000,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'n_estimators': 1000}",0.7192575406032483,0.7560975609756098,0.7363530778164924,0.7154471544715447,0.7398373983739838,0.7333985464481758,0.014748924370613837,70
72,0.31367878913879393,0.039849319344272244,0.1973261833190918,0.020983494404739653,balanced_subsample,gini,100,sqrt,10,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 100, 'max_features': 'sqrt', 'n_estimators': 10}",0.7146171693735499,0.7305458768873403,0.7038327526132404,0.6910569105691057,0.7154471544715447,0.7110999727829561,0.013144950960964383,211
73,1.365931749343872,0.13279985714719947,0.27470712661743163,0.01629922577776865,balanced_subsample,gini,100,sqrt,100,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 100, 'max_features': 'sqrt', 'n_estimators': 100}",0.7146171693735499,0.7468060394889663,0.710801393728223,0.7038327526132404,0.7421602787456446,0.7236435267899248,0.0174254663110351,163
